user_id,average_daily_consumption,average_days_to_bill_payment,customer_since,area,age,marital_status,educational_level,prefecture,average_monthly_visits,average_web_monthly_visits,average_mobile_monthly_visits
1,7.797533126,-33.9328995,2015-05-14,136.2008052,40-55,Married,Master’s degree,Neon-Attika,0.865182082,0.538853785,0.33013072
2,25.0682245,-3.213220187,2015-06-02,97.65631283,30-39,Married,Bachelor’s degree,Corinthus Crossroads,4.154857623,0.697383844,3.491963884
3,7.875073055,16.36692793,2015-06-29,133.0723222,40-55,Married,Master’s degree,Neon-Attika,2.819235325,2.394293834,0.560969959
4,12.30978674,-2.479824613,2015-03-19,88.88408469,40-55,Married,Master’s degree,Neon-Attika,0.852767331,0.569274494,0.23812676
5,8.888037236,14.00553046,2014-08-22,64.4594685,30-39,Married,Bachelor’s degree,Evoa Conglomerate,11.05652392,3.527665386,7.13160574
6,19.6055655,1.398080629,2015-03-12,60.50739326,19-29,Married,Bachelor’s degree,Voitron,5.911657601,2.26141851,3.419086422
7,9.567541538,14.59473682,2015-09-25,110.1636742,30-39,Married,Bachelor’s degree,Neon-Attika,5.439527657,2.522253982,3.207347238
8,15.92607154,11.6002377,2015-02-03,74.72148374,40-55,Single,Bachelor’s degree,Neon-Attika,4.273455049,0.267399751,4.120846402
9,12.2235703,-21.80393903,2015-08-12,92.94899212,40-55,Married,"High school graduate, diploma or the equivalent",Heartsteel Sector,4.406747518,2.29560822,2.168044031
10,6.363220429,6.691513146,2015-03-27,97.59836377,40-55,Single,Master’s degree,Magnetos Syndicate,6.027927334,1.694885664,4.762233712
11,11.09961112,-10.55551933,2015-03-27,112.1477313,40-55,Single,Master’s degree,Neon-Attika,6.478296258,1.690893308,4.3795077
12,5.72078381,-39.22102483,2015-01-30,52.85834822,30-39,Single,Master’s degree,Neon-Attika,9.418566436,4.02492959,5.122187678
13,4.04599227,3.404069038,2014-12-02,99.92380994,30-39,Single,Bachelor’s degree,Neon-Attika,16.78973574,6.759779731,9.243328412
14,10.39261654,-4.454291093,2014-03-12,81.82689869,30-39,Married,Doctorate degree,Neon-Attika,42.81259557,26.74887246,14.37117372
15,15.62162004,0.648246198,2014-12-24,0,40-55,Married,Bachelor’s degree,Neon-Attika,8.651995873,1.796348796,6.762328776
16,8.814533859,1.96357819,2014-03-07,82.4100933,40-55,Widowed,Bachelor’s degree,Neon-Attika,4.91985349,0.234700418,4.54704258
17,13.16499659,2.029419141,2014-03-07,122.0277823,40-55,Widowed,Bachelor’s degree,Neon-Attika,5.00039819,0.228448515,4.702662122
18,20.83951898,-2.322018132,2015-08-27,109.828155,30-39,Married,Bachelor’s degree,Phokidron,42.01607853,3.530671286,39.16562671
19,3.955404052,0.208930701,2015-09-24,54.12842183,40-55,Divorced,Bachelor’s degree,Neon-Attika,4.562975568,0.058103344,4.649067182
20,17.89551939,3.495159148,2015-04-01,155.6676687,40-55,Married,Master’s degree,Neon-Attika,2.529374816,1.157970211,1.287433499
21,27.96459972,-80.69422028,2015-05-28,68.35803799,30-39,Married,"High school graduate, diploma or the equivalent",Neon-Attika,1.027274574,0.191959313,0.829721868
22,18.58310218,1.513702676,2014-07-31,97.59549112,19-29,Single,"High school graduate, diploma or the equivalent",Neon-Attika,7.639163238,1.413674175,6.627626184
23,4.645268468,0.973892699,2014-12-11,111.0345125,30-39,Married,Master’s degree,Neon-Attika,5.868057239,0.171210645,5.485745855
24,14.38484017,10.09581928,2015-09-04,135.386833,30-39,Single,Master’s degree,Neon-Attika,8.908040153,4.344373484,4.189158657
25,9.720869969,1.93584602,2015-07-30,68.82363872,30-39,Married,Master’s degree,Neon-Attika,4.268132559,1.327503714,3.061249297
26,11.83839149,4.771882038,2015-02-19,61.02373458,30-39,Married,Master’s degree,Neon-Attika,6.215962799,1.828844138,4.470596066
27,6.766266029,1.21129507,2015-02-19,120.5074462,30-39,Married,Master’s degree,Neon-Attika,6.426426102,1.785002638,4.719141903
28,13.13024946,1.95770902,2014-10-10,107.748538,30-39,Married,Doctorate degree,Aitol Nexus,4.950865706,1.955444612,2.910429034
29,11.83086355,-5.054079463,2015-06-12,92.16848393,30-39,Single,Bachelor’s degree,Neon-Attika,1.286544508,0.257996364,1.038224159
30,9.507985378,2.102498426,2015-06-05,118.0980405,30-39,Single,Master’s degree,Neon-Attika,1.201980606,0.062234909,1.092954016
31,4.270195793,-9.462727477,2015-02-11,109.1874701,30-39,Single,Bachelor’s degree,Neon-Attika,0.544113102,0.4147796,0.127891457
32,6.554594077,11.91866022,2014-08-08,101.9005763,68+,Widowed,"High school graduate, diploma or the equivalent",Neon-Attika,1.818657795,1.081022219,0.772246204
33,6.944988253,7.23073199,2015-03-03,76.28288837,30-39,Married,Bachelor’s degree,Thessalon Prime,1.386037155,0.413611734,1.036488591
34,13.37734554,18.23798426,2014-12-16,102.4114508,30-39,Single,"High school graduate, diploma or the equivalent",Neon-Attika,3.45862026,2.893477829,0.397272679
35,21.77453933,10.4370283,2014-03-05,186.6169672,30-39,Married,Bachelor’s degree,Neon-Attika,1.966132489,0.576506945,1.423566805
36,16.93670682,14.72314053,2014-09-01,244.5220203,56-67,Married,Bachelor’s degree,Pierion,4.196177396,2.032601784,2.178355525
37,16.26999306,7.597826862,2015-02-03,98.49625101,30-39,Married,Bachelor’s degree,Neon-Attika,6.719604525,3.660967976,3.193320684
38,7.656702234,10.94350002,2015-07-08,104.43047,30-39,Married,Bachelor’s degree,Voitron,7.051216801,1.319944099,5.852497881
39,5.95657356,5.548611772,2015-01-16,79.56661242,30-39,Single,Bachelor’s degree,Neon-Attika,3.827629021,0.294342725,3.6982788
40,9.801787729,4.618276067,2014-12-23,99.12176238,40-55,Married,Bachelor’s degree,Neon-Attika,2.967838084,0.420170368,2.52812385
41,21.38538467,2.770625112,2014-04-04,245.6224069,40-55,Married,Bachelor’s degree,Neon-Attika,2.043234164,1.044845742,1.029296725
42,31.71413338,-52.77724514,2014-12-22,277.0749267,30-39,Married,Bachelor’s degree,Thessalon Prime,3.549431226,0.908043023,2.540742717
43,6.522106809,11.14543546,2015-06-05,116.3614904,30-39,Married,Bachelor’s degree,Voitron,5.931297398,2.080077029,3.762557135
44,13.53834627,7.053225668,2014-05-21,120.0694036,40-55,Married,Bachelor’s degree,Neon-Attika,1.499762367,1.042130974,0.492405412
45,18.75054531,5.854093064,2015-02-04,125.9350634,56-67,Married,Bachelor’s degree,Magnetos Syndicate,2.658202434,0.250897782,2.283934721
46,10.81227065,19.71428879,2015-05-26,104.1334852,30-39,Married,Bachelor’s degree,Neon-Attika,5.461692407,5.47932127,0.432887011
47,5.951862702,0.268433015,2015-10-09,129.5921747,30-39,Married,Master’s degree,Neon-Attika,17.5663903,16.7555305,0.50400434
48,8.940674341,3.60030791,2015-10-14,106.4253833,40-55,Married,"High school graduate, diploma or the equivalent",Trigood Sector,3.942601719,1.822310198,2.112670934
49,7.364982692,16.76824265,2015-10-23,105.2529201,30-39,Divorced,"High school graduate, diploma or the equivalent",Evrax,10.90253771,2.593715334,9.036350592
50,9.755083148,1.152280751,2015-10-21,91.87929322,30-39,Married,Bachelor’s degree,Neon-Attika,4.939922202,3.998100838,1.102910215
51,7.505536056,13.28506574,2015-10-16,89.12248126,30-39,Married,"High school graduate, diploma or the equivalent",Neon-Attika,0.762770315,0.633231249,0.110285609
52,12.5166405,3.611721817,2015-10-23,84.37152134,30-39,Married,Master’s degree,Neon-Attika,0.582780531,0.424673557,0.202404071
53,4.95672094,6.027523642,2015-10-16,67.46829146,30-39,Single,Master’s degree,Neon-Attika,0.530792148,0.370528297,0.177334782
54,10.07696527,4.080321778,2015-10-22,243.3818013,40-55,Married,Master’s degree,Neon-Attika,2.149004224,0.572847283,1.492019847
55,2.382552968,4.012632622,2015-10-23,635.5529299,19-29,Single,Master’s degree,Neon-Attika,1.803408606,0.797030827,0.984644812
56,8.55302375,-29.64944839,2015-10-20,47.0058723,30-39,Divorced,No degree,Neon-Attika,5.141723724,1.186762492,4.15861889
57,14.83895543,12.03433014,2015-10-26,86.20103462,40-55,Married,Bachelor’s degree,Neon-Attika,4.265301644,1.398769283,2.914578842
58,7.500455763,14.58271766,2015-11-27,44.77051428,19-29,Single,Master’s degree,Neon-Attika,5.127980293,3.264894447,1.692645879
